id,variant_id,attribute_value_id
274,274,1
275,275,4
276,276,1
277,277,4
278,278,8
279,279,8
280,280,8
281,281,5
282,282,6
283,283,8
284,284,9
285,285,10
286,286,8
287,287,1
288,288,4
289,289,8
290,290,1
291,291,4
292,292,8
293,293,5
294,294,6
295,295,8
296,296,8
297,297,9
298,298,10
299,299,8
300,300,1
301,301,4
302,302,8
303,303,8
304,304,8
305,305,8
306,306,5
307,307,6
308,308,8
309,309,8
310,310,1
311,311,4
312,312,8
313,313,8
314,314,9
315,315,10
316,316,1
317,317,4
318,318,8
319,319,8
320,320,8
321,321,1
322,322,4
323,323,5
324,324,6
325,325,8
326,326,8
327,327,5
328,328,6
329,329,5
330,330,6
331,331,9
332,332,10
333,333,5
334,334,6
335,335,1
336,336,4
337,337,8
338,338,5
339,339,6
340,340,9
341,341,10
342,342,8
343,343,8
344,344,9
345,345,10
346,346,8
347,347,5
348,348,6
349,349,1
350,350,4
351,351,9
352,352,10
353,353,8
354,354,8
355,355,8
356,356,5
357,357,6
358,358,5
359,359,6
360,360,5
361,361,6
362,362,8
363,363,5
364,364,6
365,365,8
366,366,8
367,367,9
368,368,10
369,369,9
370,370,10
371,371,5
372,372,6
373,373,8
374,374,8
375,375,1
376,376,4
377,377,8
378,378,8
379,379,8
380,380,9
381,381,10
382,382,8
383,383,1
384,384,4
385,385,5
386,386,6
387,387,8
388,388,5
389,389,6
390,390,8
391,391,9
392,392,10
393,393,5
394,394,6
395,395,9
396,396,10
397,397,5
398,398,6
399,399,8
400,400,5
401,401,6
402,402,5
403,403,6
404,404,9
405,405,10
406,406,8
407,407,8
408,408,5
409,409,6
410,410,9
411,411,10
412,412,8
413,413,9
414,414,10
415,415,9
416,416,10
417,417,1
418,418,4
419,419,8
420,420,1
421,421,4
422,422,8
423,423,5
424,424,6
425,425,9
426,426,10
427,427,8
428,428,1
429,429,4
430,430,8
431,431,1
432,432,4
433,433,1
434,434,4
435,435,5
436,436,6
437,437,1
438,438,4
439,439,8
440,440,8
441,441,8
442,442,8
443,443,5
444,444,6
445,445,8
446,446,8
447,447,1
448,448,4
449,449,1
450,450,4
451,451,1
452,452,4
453,453,8
454,454,1
455,455,4
456,456,8
457,457,5
458,458,6
459,459,9
460,460,10
461,461,5
462,462,6
463,463,8
464,464,9
465,465,10
466,466,1
467,467,4
468,468,1
469,469,4
470,470,8
471,471,1
472,472,4
473,473,8
474,474,8
475,475,9
476,476,10
477,477,5
478,478,6
479,479,5
480,480,6
481,481,1
482,482,4
483,483,8
484,484,1
485,485,4
486,486,5
487,487,6
488,488,8
489,489,9
490,490,10
491,491,9
492,492,10
493,493,8
494,494,1
495,495,4
496,496,8
497,497,1
498,498,4
499,499,8
500,500,8
501,501,8
502,502,1
503,503,4
504,504,8
505,505,1
506,506,4
507,507,8
508,508,8
509,509,8
510,510,1
511,511,4
512,512,8
513,513,8
514,514,1
515,515,4
516,516,1
517,517,4
518,518,8
519,519,8
520,520,5
521,521,6
522,522,1
523,523,4
524,524,8
525,525,8
526,526,8
527,527,8
528,528,8
529,529,8
530,530,8
531,531,8
532,532,8
533,533,1
534,534,4
535,535,1
536,536,4
537,537,8
538,538,1
539,539,4
540,540,8
541,541,9
542,542,10
543,543,8
544,544,8
545,545,1
546,546,4
547,547,9
548,548,10
549,549,9
550,550,10
551,551,8
552,552,5
553,553,6
554,554,9
555,555,10
556,556,8
557,557,8
558,558,9
559,559,10
560,560,8
561,561,5
562,562,6
563,563,5
564,564,6
565,565,8
566,566,5
567,567,6
568,568,8
569,569,5
570,570,6
571,571,5
572,572,6
573,573,9
574,574,10
575,575,8
576,576,8
577,577,8
578,578,1
579,579,4
580,580,8
581,581,5
582,582,6
583,583,8
584,584,8
585,585,8
586,586,8
587,587,8
588,588,8
589,589,9
590,590,10
591,591,8
592,592,9
593,593,10
594,594,1
595,595,4
596,596,1
597,597,4
598,598,9
599,599,10
600,600,5
601,601,6
602,602,8
603,603,1
604,604,4
605,605,9
606,606,10
607,607,8
608,608,1
609,609,4
610,610,5
611,611,6
612,612,9
613,613,10
614,614,8
615,615,5
616,616,6
617,617,8
618,618,8
619,619,1
620,620,4
621,621,8
622,622,9
623,623,10
624,624,8
625,625,9
626,626,10
627,627,8
628,628,8
629,629,1
630,630,4
631,631,5
632,632,6
633,633,1
634,634,4
635,635,8
636,636,1
637,637,4
638,638,8
639,639,8
640,640,1
641,641,4
642,642,5
643,643,6
644,644,8
645,645,5
646,646,6
647,647,9
648,648,10
649,649,1
650,650,4
651,651,5
652,652,6
653,653,8
654,654,8
655,655,9
656,656,10
657,657,8
658,658,8
659,659,1
660,660,4
661,661,8
662,662,9
663,663,10
664,664,8
665,665,8
666,666,8
667,667,5
668,668,6
669,669,5
670,670,6
671,671,5
672,672,6
673,673,8
674,674,1
675,675,4
676,676,1
677,677,4
678,678,8
679,679,8
680,680,8
681,681,9
682,682,10
683,683,8
684,684,9
685,685,10
686,686,8
687,687,1
688,688,4
689,689,8
690,690,8
691,691,8
692,692,9
693,693,10
694,694,5
695,695,6
696,696,1
697,697,4
698,698,8
699,699,8
700,700,5
701,701,6
702,702,5
703,703,6
704,704,5
705,705,6
706,706,8
707,707,8
708,708,9
709,709,10
710,710,8
711,711,8
712,712,8
713,713,1
714,714,4
715,715,1
716,716,4
717,717,5
718,718,6
719,719,1
720,720,4
721,721,8
722,722,5
723,723,6
724,724,5
725,725,6
726,726,1
727,727,4
728,728,8
729,729,8
730,730,8
731,731,8
732,732,5
733,733,6
734,734,5
735,735,6
736,736,1
737,737,4
738,738,1
739,739,4
740,740,8
741,741,5
742,742,6
743,743,9
744,744,10
745,745,8
746,746,8
747,747,1
748,748,4
749,749,8
750,750,8
751,751,8
752,752,8
753,753,1
754,754,4
755,755,9
756,756,10
757,757,8
758,758,8
759,759,1
760,760,4
761,761,5
762,762,6
763,763,1
764,764,4
765,765,1
766,766,4
767,767,8
768,768,9
769,769,10
770,770,1
771,771,4
772,772,8
773,773,5
774,774,6
775,775,1
776,776,4
777,777,1
778,778,4
779,779,8
780,780,5
781,781,6
782,782,8
783,783,9
784,784,10
785,785,8
786,786,8
787,787,8
788,788,8
789,789,8
790,790,8
791,791,8
792,792,8
793,793,8
794,794,8
795,795,8
796,796,5
797,797,6
798,798,8
799,799,8
800,800,5
801,801,6
802,802,8
803,803,8
804,804,9
805,805,10
806,806,8
807,807,8
808,808,8
809,809,5
810,810,6
811,811,5
812,812,6
813,813,1
814,814,4
815,815,8
816,816,8
817,817,5
818,818,6
819,819,5
820,820,6
821,821,9
822,822,10
823,823,5
824,824,6
825,825,8
826,826,5
827,827,6
828,828,8
829,829,9
830,830,10
831,831,8
832,832,9
833,833,10
834,834,8
835,835,8
836,836,8
837,837,8
838,838,8
839,839,5
840,840,6
841,841,5
842,842,6
843,843,5
844,844,6
845,845,1
846,846,4
847,847,8
848,848,5
849,849,6
850,850,8
851,851,1
852,852,4
853,853,1
854,854,4
855,855,8
856,856,9
857,857,10
858,858,5
859,859,6
860,860,9
861,861,10
862,862,8
863,863,8
864,864,1
865,865,4
866,866,5
867,867,6
868,868,8
869,869,5
870,870,6
871,871,9
872,872,10
873,873,8
874,874,5
875,875,6
876,876,8
877,877,1
878,878,4
879,879,5
880,880,6
881,881,8
882,882,8
883,883,8
884,884,8
885,885,9
886,886,10
887,887,1
888,888,4
889,889,9
890,890,10
891,891,8
892,892,8
893,893,8
894,894,5
895,895,6
896,896,5
897,897,6
898,898,5
899,899,6
900,900,8
901,901,8
902,902,5
903,903,6
904,904,8
905,905,8
906,906,5
907,907,6
908,908,1
909,909,4
910,910,8
911,911,5
912,912,6
913,913,8
914,914,9
915,915,10
916,916,8
917,917,8
918,918,1
919,919,4
920,920,8
921,921,8
922,922,8
923,923,8
924,924,9
925,925,10
926,926,8
927,927,8
928,928,8
929,929,8
930,930,9
931,931,10
932,932,5
933,933,6
934,934,8
935,935,9
936,936,10
937,937,5
938,938,6
939,939,8
940,940,1
941,941,4
942,942,8
943,943,8
944,944,1
945,945,4
946,946,8
947,947,1
948,948,4
949,949,8
950,950,8
951,951,8
952,952,5
953,953,6
954,954,8
955,955,8
956,956,1
957,957,4
958,958,9
959,959,10
960,960,8
961,961,8
962,962,8
963,963,8
964,964,1
965,965,4
966,966,8
967,967,5
968,968,6
969,969,8
970,970,8
971,971,8
972,972,5
973,973,6
974,974,5
975,975,6
976,976,8
977,977,8
978,978,9
979,979,10
980,980,8
981,981,8
982,982,8
983,983,8
984,984,1
985,985,4
986,986,8
987,987,8
988,988,8
989,989,1
990,990,4
991,991,8
992,992,1
993,993,4
994,994,8
995,995,8
996,996,8
997,997,1
998,998,4
999,999,5
1000,1000,6
1001,1001,8
1002,1002,8
1003,1003,1
1004,1004,4
1005,1005,9
1006,1006,10
1007,1007,8
1008,1008,1
1009,1009,4
1010,1010,8
1011,1011,8
1012,1012,1
1013,1013,4
1014,1014,8
1015,1015,9
1016,1016,10
1017,1017,1
1018,1018,4
1019,1019,1
1020,1020,4
1021,1021,1
1022,1022,4
1023,1023,1
1024,1024,4
1025,1025,8
1026,1026,9
1027,1027,10
1028,1028,1
1029,1029,4
1030,1030,8
1031,1031,8
1032,1032,5
1033,1033,6
1034,1034,1
1035,1035,4
1036,1036,8
1037,1037,8
1038,1038,8
1039,1039,9
1040,1040,10
1041,1041,1
1042,1042,4
1043,1043,5
1044,1044,6
1045,1045,5
1046,1046,6
1047,1047,8
1048,1048,8
1049,1049,5
1050,1050,6
1051,1051,1
1052,1052,4
1053,1053,8
1054,1054,8
1055,1055,8
1056,1056,5
1057,1057,6
1058,1058,1
1059,1059,4
1060,1060,8
1061,1061,8
1062,1062,8
1063,1063,5
1064,1064,6
1065,1065,8
1066,1066,5
1067,1067,6
1068,1068,8
1069,1069,8
1070,1070,8
1071,1071,9
1072,1072,10
1073,1073,5
1074,1074,6
1075,1075,8
1076,1076,8
1077,1077,1
1078,1078,4
1079,1079,8
1080,1080,9
1081,1081,10
1082,1082,8
1083,1083,8
1084,1084,8
1085,1085,5
1086,1086,6
1087,1087,8
1088,1088,8
1089,1089,5
1090,1090,6
1091,1091,1
1092,1092,4
1093,1093,8
1094,1094,8
1095,1095,8
1096,1096,8
1097,1097,8
1098,1098,8
1099,1099,8
1100,1100,8
1101,1101,8
1102,1102,9
1103,1103,10
1104,1104,8
1105,1105,8
1106,1106,5
1107,1107,6
1108,1108,9
1109,1109,10
1110,1110,8
1111,1111,8
1112,1112,8
1113,1113,8
1114,1114,9
1115,1115,10
1116,1116,8
1117,1117,1
1118,1118,4
1119,1119,5
1120,1120,6
1121,1121,8
1122,1122,8
1123,1123,8
1124,1124,8
1125,1125,8
1126,1126,8
1127,1127,8
1128,1128,8
1129,1129,8
1130,1130,8
1131,1131,8
1132,1132,1
1133,1133,4
1134,1134,8
1135,1135,8
1136,1136,5
1137,1137,6
1138,1138,8
1139,1139,1
1140,1140,4
1141,1141,5
1142,1142,6
1143,1143,8
1144,1144,1
1145,1145,4
1146,1146,8
1147,1147,9
1148,1148,10
1149,1149,1
1150,1150,4
1151,1151,9
1152,1152,10
1153,1153,8
1154,1154,8
1155,1155,8
1156,1156,8
1157,1157,9
1158,1158,10
1159,1159,5
1160,1160,6
1161,1161,9
1162,1162,10
1163,1163,8
1164,1164,8
1165,1165,9
1166,1166,10
1167,1167,8
1168,1168,8
1169,1169,9
1170,1170,10
1171,1171,5
1172,1172,6
1173,1173,5
1174,1174,6
1175,1175,1
1176,1176,4
1177,1177,9
1178,1178,10
1179,1179,8
1180,1180,9
1181,1181,10
1182,1182,8
1183,1183,8
1184,1184,5
1185,1185,6
1186,1186,5
1187,1187,6
1188,1188,8
1189,1189,5
1190,1190,6
1191,1191,8
1192,1192,1
1193,1193,4
1194,1194,5
1195,1195,6
1196,1196,8
1197,1197,5
1198,1198,6
1199,1199,9
1200,1200,10
1201,1201,1
1202,1202,4
1203,1203,8
1204,1204,5
1205,1205,6
1206,1206,8
1207,1207,9
1208,1208,10
1209,1209,5
1210,1210,6
1211,1211,1
1212,1212,4
1213,1213,9
1214,1214,10
1215,1215,1
1216,1216,4
1217,1217,8
1218,1218,8
1219,1219,8
1220,1220,9
1221,1221,10
1222,1222,5
1223,1223,6
1224,1224,8
1225,1225,8
1226,1226,8
1227,1227,5
1228,1228,6
1229,1229,5
1230,1230,6
1231,1231,8
1232,1232,1
1233,1233,4
1234,1234,8
1235,1235,1
1236,1236,4
1237,1237,8
1238,1238,8
1239,1239,9
1240,1240,10
1241,1241,8
1242,1242,8
1243,1243,5
1244,1244,6
1245,1245,8
1246,1246,8
1247,1247,8
1248,1248,1
1249,1249,4
1250,1250,9
1251,1251,10
1252,1252,8
1253,1253,5
1254,1254,6
1255,1255,9
1256,1256,10
1257,1257,8
1258,1258,9
1259,1259,10
1260,1260,8
1261,1261,9
1262,1262,10
1263,1263,8
1264,1264,1
1265,1265,4
1266,1266,8
1267,1267,8
1268,1268,8
1269,1269,5
1270,1270,6
1271,1271,8
1272,1272,8
1273,1273,9
1274,1274,10
1275,1275,5
1276,1276,6
1277,1277,5
1278,1278,6
1279,1279,5
1280,1280,6
1281,1281,5
1282,1282,6
1283,1283,9
1284,1284,10
1285,1285,8
1286,1286,8
1287,1287,8
1288,1288,8
1289,1289,8
1290,1290,1
1291,1291,4
1292,1292,9
1293,1293,10
1294,1294,8
1295,1295,5
1296,1296,6
1297,1297,8
1298,1298,5
1299,1299,6
1300,1300,8
1301,1301,8
1302,1302,1
1303,1303,4
1304,1304,8
1305,1305,8
1306,1306,1
1307,1307,4
1308,1308,1
1309,1309,4
1310,1310,1
1311,1311,4
1312,1312,8
1313,1313,8
1314,1314,8
1315,1315,5
1316,1316,6
1317,1317,8
1318,1318,1
1319,1319,4
1320,1320,8
1321,1321,9
1322,1322,10
1323,1323,8
1324,1324,8
1325,1325,9
1326,1326,10
1327,1327,8
1328,1328,9
1329,1329,10
1330,1330,9
1331,1331,10
1332,1332,5
1333,1333,6
1334,1334,5
1335,1335,6
1336,1336,1
1337,1337,4
1338,1338,1
1339,1339,4
1340,1340,8
1341,1341,8
1342,1342,8
1343,1343,9
1344,1344,10
