id,name,slug,description,icon
323851,Clothing (ID 323851),clothing-323851,"Auto-generated category Clothing (ID 323851): Apparel, garments, and fashion accessories.",shirt
334161,Clothing (ID 334161),clothing-334161,"Auto-generated category Clothing (ID 334161): Apparel, garments, and fashion accessories.",shirt
338646,Toys & Games (ID 338646),toys-games-338646,"Auto-generated category Toys & Games (ID 338646): Toys, puzzles, and kids board games.",puzzle-piece
339124,Cosmetics (ID 339124),cosmetics-339124,"Auto-generated category Cosmetics (ID 339124): Beauty, skin care, and makeup products.",spa
339580,Electronics (ID 339580),electronics-339580,"Auto-generated category Electronics (ID 339580): Consumer electronics, gadgets, and devices.",laptop
358773,Furniture (ID 358773),furniture-358773,Auto-generated category Furniture (ID 358773): Home and office furniture items.,chair
360294,Cosmetics (ID 360294),cosmetics-360294,"Auto-generated category Cosmetics (ID 360294): Beauty, skin care, and makeup products.",spa
362750,Electronics (ID 362750),electronics-362750,"Auto-generated category Electronics (ID 362750): Consumer electronics, gadgets, and devices.",laptop
381850,Electronics (ID 381850),electronics-381850,"Auto-generated category Electronics (ID 381850): Consumer electronics, gadgets, and devices.",laptop
383749,Jewelry & Accessories (ID 383749),jewelry-accessories-383749,"Auto-generated category Jewelry & Accessories (ID 383749): Jewelry, gems, watches, and tags.",gem
399287,Sports Equipment (ID 399287),sports-equipment-399287,"Auto-generated category Sports Equipment (ID 399287): Fitness gears, activewear, and gym equipments.",dumbbell
401357,Sports Equipment (ID 401357),sports-equipment-401357,"Auto-generated category Sports Equipment (ID 401357): Fitness gears, activewear, and gym equipments.",dumbbell
411153,Furniture (ID 411153),furniture-411153,Auto-generated category Furniture (ID 411153): Home and office furniture items.,chair
440901,Clothing (ID 440901),clothing-440901,"Auto-generated category Clothing (ID 440901): Apparel, garments, and fashion accessories.",shirt
477292,Books (ID 477292),books-477292,"Auto-generated category Books (ID 477292): Printed books, novels, and textbooks.",book
545775,Food & Groceries (ID 545775),food-groceries-545775,"Auto-generated category Food & Groceries (ID 545775): Groceries, organic food, and snacks.",utensils
550660,Electronics (ID 550660),electronics-550660,"Auto-generated category Electronics (ID 550660): Consumer electronics, gadgets, and devices.",laptop
553365,Food & Groceries (ID 553365),food-groceries-553365,"Auto-generated category Food & Groceries (ID 553365): Groceries, organic food, and snacks.",utensils
564681,Clothing (ID 564681),clothing-564681,"Auto-generated category Clothing (ID 564681): Apparel, garments, and fashion accessories.",shirt
570735,Food & Groceries (ID 570735),food-groceries-570735,"Auto-generated category Food & Groceries (ID 570735): Groceries, organic food, and snacks.",utensils
620409,Jewelry & Accessories (ID 620409),jewelry-accessories-620409,"Auto-generated category Jewelry & Accessories (ID 620409): Jewelry, gems, watches, and tags.",gem
622168,Shoes (ID 622168),shoes-622168,"Auto-generated category Shoes (ID 622168): Footwear for men, women and kids.",shoe-prints
634390,Electronics (ID 634390),electronics-634390,"Auto-generated category Electronics (ID 634390): Consumer electronics, gadgets, and devices.",laptop
642223,Furniture (ID 642223),furniture-642223,Auto-generated category Furniture (ID 642223): Home and office furniture items.,chair
690811,Clothing (ID 690811),clothing-690811,"Auto-generated category Clothing (ID 690811): Apparel, garments, and fashion accessories.",shirt
703487,Sports Equipment (ID 703487),sports-equipment-703487,"Auto-generated category Sports Equipment (ID 703487): Fitness gears, activewear, and gym equipments.",dumbbell
721242,Books (ID 721242),books-721242,"Auto-generated category Books (ID 721242): Printed books, novels, and textbooks.",book
721664,Cosmetics (ID 721664),cosmetics-721664,"Auto-generated category Cosmetics (ID 721664): Beauty, skin care, and makeup products.",spa
722797,Sports Equipment (ID 722797),sports-equipment-722797,"Auto-generated category Sports Equipment (ID 722797): Fitness gears, activewear, and gym equipments.",dumbbell
724320,Electronics (ID 724320),electronics-724320,"Auto-generated category Electronics (ID 724320): Consumer electronics, gadgets, and devices.",laptop
737184,Cosmetics (ID 737184),cosmetics-737184,"Auto-generated category Cosmetics (ID 737184): Beauty, skin care, and makeup products.",spa
749692,Books (ID 749692),books-749692,"Auto-generated category Books (ID 749692): Printed books, novels, and textbooks.",book
753984,Cosmetics (ID 753984),cosmetics-753984,"Auto-generated category Cosmetics (ID 753984): Beauty, skin care, and makeup products.",spa
794153,Furniture (ID 794153),furniture-794153,Auto-generated category Furniture (ID 794153): Home and office furniture items.,chair
796856,Toys & Games (ID 796856),toys-games-796856,"Auto-generated category Toys & Games (ID 796856): Toys, puzzles, and kids board games.",puzzle-piece
810632,Books (ID 810632),books-810632,"Auto-generated category Books (ID 810632): Printed books, novels, and textbooks.",book
815311,Clothing (ID 815311),clothing-815311,"Auto-generated category Clothing (ID 815311): Apparel, garments, and fashion accessories.",shirt
846990,Electronics (ID 846990),electronics-846990,"Auto-generated category Electronics (ID 846990): Consumer electronics, gadgets, and devices.",laptop
848089,Jewelry & Accessories (ID 848089),jewelry-accessories-848089,"Auto-generated category Jewelry & Accessories (ID 848089): Jewelry, gems, watches, and tags.",gem
854059,Jewelry & Accessories (ID 854059),jewelry-accessories-854059,"Auto-generated category Jewelry & Accessories (ID 854059): Jewelry, gems, watches, and tags.",gem
858800,Electronics (ID 858800),electronics-858800,"Auto-generated category Electronics (ID 858800): Consumer electronics, gadgets, and devices.",laptop
865039,Jewelry & Accessories (ID 865039),jewelry-accessories-865039,"Auto-generated category Jewelry & Accessories (ID 865039): Jewelry, gems, watches, and tags.",gem
866301,Clothing (ID 866301),clothing-866301,"Auto-generated category Clothing (ID 866301): Apparel, garments, and fashion accessories.",shirt
874415,Food & Groceries (ID 874415),food-groceries-874415,"Auto-generated category Food & Groceries (ID 874415): Groceries, organic food, and snacks.",utensils
876318,Shoes (ID 876318),shoes-876318,"Auto-generated category Shoes (ID 876318): Footwear for men, women and kids.",shoe-prints
882707,Sports Equipment (ID 882707),sports-equipment-882707,"Auto-generated category Sports Equipment (ID 882707): Fitness gears, activewear, and gym equipments.",dumbbell
883960,Electronics (ID 883960),electronics-883960,"Auto-generated category Electronics (ID 883960): Consumer electronics, gadgets, and devices.",laptop
886203,Furniture (ID 886203),furniture-886203,Auto-generated category Furniture (ID 886203): Home and office furniture items.,chair
902556,Toys & Games (ID 902556),toys-games-902556,"Auto-generated category Toys & Games (ID 902556): Toys, puzzles, and kids board games.",puzzle-piece
903809,Jewelry & Accessories (ID 903809),jewelry-accessories-903809,"Auto-generated category Jewelry & Accessories (ID 903809): Jewelry, gems, watches, and tags.",gem
922189,Jewelry & Accessories (ID 922189),jewelry-accessories-922189,"Auto-generated category Jewelry & Accessories (ID 922189): Jewelry, gems, watches, and tags.",gem
929749,Jewelry & Accessories (ID 929749),jewelry-accessories-929749,"Auto-generated category Jewelry & Accessories (ID 929749): Jewelry, gems, watches, and tags.",gem
940822,Books (ID 940822),books-940822,"Auto-generated category Books (ID 940822): Printed books, novels, and textbooks.",book
957119,Jewelry & Accessories (ID 957119),jewelry-accessories-957119,"Auto-generated category Jewelry & Accessories (ID 957119): Jewelry, gems, watches, and tags.",gem
982926,Toys & Games (ID 982926),toys-games-982926,"Auto-generated category Toys & Games (ID 982926): Toys, puzzles, and kids board games.",puzzle-piece
983613,Furniture (ID 983613),furniture-983613,Auto-generated category Furniture (ID 983613): Home and office furniture items.,chair
1004392,Books (ID 1004392),books-1004392,"Auto-generated category Books (ID 1004392): Printed books, novels, and textbooks.",book
1008362,Books (ID 1008362),books-1008362,"Auto-generated category Books (ID 1008362): Printed books, novels, and textbooks.",book
1020087,Sports Equipment (ID 1020087),sports-equipment-1020087,"Auto-generated category Sports Equipment (ID 1020087): Fitness gears, activewear, and gym equipments.",dumbbell
1029459,Jewelry & Accessories (ID 1029459),jewelry-accessories-1029459,"Auto-generated category Jewelry & Accessories (ID 1029459): Jewelry, gems, watches, and tags.",gem
1046047,Sports Equipment (ID 1046047),sports-equipment-1046047,"Auto-generated category Sports Equipment (ID 1046047): Fitness gears, activewear, and gym equipments.",dumbbell
1051370,Electronics (ID 1051370),electronics-1051370,"Auto-generated category Electronics (ID 1051370): Consumer electronics, gadgets, and devices.",laptop
1061857,Sports Equipment (ID 1061857),sports-equipment-1061857,"Auto-generated category Sports Equipment (ID 1061857): Fitness gears, activewear, and gym equipments.",dumbbell
1080785,Food & Groceries (ID 1080785),food-groceries-1080785,"Auto-generated category Food & Groceries (ID 1080785): Groceries, organic food, and snacks.",utensils
1080925,Food & Groceries (ID 1080925),food-groceries-1080925,"Auto-generated category Food & Groceries (ID 1080925): Groceries, organic food, and snacks.",utensils
1090997,Sports Equipment (ID 1090997),sports-equipment-1090997,"Auto-generated category Sports Equipment (ID 1090997): Fitness gears, activewear, and gym equipments.",dumbbell
1108912,Books (ID 1108912),books-1108912,"Auto-generated category Books (ID 1108912): Printed books, novels, and textbooks.",book
1127566,Toys & Games (ID 1127566),toys-games-1127566,"Auto-generated category Toys & Games (ID 1127566): Toys, puzzles, and kids board games.",puzzle-piece
1132465,Food & Groceries (ID 1132465),food-groceries-1132465,"Auto-generated category Food & Groceries (ID 1132465): Groceries, organic food, and snacks.",utensils
1151115,Food & Groceries (ID 1151115),food-groceries-1151115,"Auto-generated category Food & Groceries (ID 1151115): Groceries, organic food, and snacks.",utensils
1169371,Clothing (ID 1169371),clothing-1169371,"Auto-generated category Clothing (ID 1169371): Apparel, garments, and fashion accessories.",shirt
1169503,Furniture (ID 1169503),furniture-1169503,Auto-generated category Furniture (ID 1169503): Home and office furniture items.,chair
1176344,Cosmetics (ID 1176344),cosmetics-1176344,"Auto-generated category Cosmetics (ID 1176344): Beauty, skin care, and makeup products.",spa
1216617,Sports Equipment (ID 1216617),sports-equipment-1216617,"Auto-generated category Sports Equipment (ID 1216617): Fitness gears, activewear, and gym equipments.",dumbbell
1217732,Books (ID 1217732),books-1217732,"Auto-generated category Books (ID 1217732): Printed books, novels, and textbooks.",book
1231891,Clothing (ID 1231891),clothing-1231891,"Auto-generated category Clothing (ID 1231891): Apparel, garments, and fashion accessories.",shirt
1249761,Clothing (ID 1249761),clothing-1249761,"Auto-generated category Clothing (ID 1249761): Apparel, garments, and fashion accessories.",shirt
1249923,Furniture (ID 1249923),furniture-1249923,Auto-generated category Furniture (ID 1249923): Home and office furniture items.,chair
1265358,Shoes (ID 1265358),shoes-1265358,"Auto-generated category Shoes (ID 1265358): Footwear for men, women and kids.",shoe-prints
1274818,Shoes (ID 1274818),shoes-1274818,"Auto-generated category Shoes (ID 1274818): Footwear for men, women and kids.",shoe-prints
1275696,Toys & Games (ID 1275696),toys-games-1275696,"Auto-generated category Toys & Games (ID 1275696): Toys, puzzles, and kids board games.",puzzle-piece
1276979,Jewelry & Accessories (ID 1276979),jewelry-accessories-1276979,"Auto-generated category Jewelry & Accessories (ID 1276979): Jewelry, gems, watches, and tags.",gem
1299190,Electronics (ID 1299190),electronics-1299190,"Auto-generated category Electronics (ID 1299190): Consumer electronics, gadgets, and devices.",laptop
1312642,Books (ID 1312642),books-1312642,"Auto-generated category Books (ID 1312642): Printed books, novels, and textbooks.",book
1320293,Furniture (ID 1320293),furniture-1320293,Auto-generated category Furniture (ID 1320293): Home and office furniture items.,chair
1331853,Furniture (ID 1331853),furniture-1331853,Auto-generated category Furniture (ID 1331853): Home and office furniture items.,chair
1414043,Furniture (ID 1414043),furniture-1414043,Auto-generated category Furniture (ID 1414043): Home and office furniture items.,chair
1414911,Clothing (ID 1414911),clothing-1414911,"Auto-generated category Clothing (ID 1414911): Apparel, garments, and fashion accessories.",shirt
1419417,Sports Equipment (ID 1419417),sports-equipment-1419417,"Auto-generated category Sports Equipment (ID 1419417): Fitness gears, activewear, and gym equipments.",dumbbell
1446405,Food & Groceries (ID 1446405),food-groceries-1446405,"Auto-generated category Food & Groceries (ID 1446405): Groceries, organic food, and snacks.",utensils
1449177,Sports Equipment (ID 1449177),sports-equipment-1449177,"Auto-generated category Sports Equipment (ID 1449177): Fitness gears, activewear, and gym equipments.",dumbbell
1451041,Clothing (ID 1451041),clothing-1451041,"Auto-generated category Clothing (ID 1451041): Apparel, garments, and fashion accessories.",shirt
1451783,Furniture (ID 1451783),furniture-1451783,Auto-generated category Furniture (ID 1451783): Home and office furniture items.,chair
1451814,Cosmetics (ID 1451814),cosmetics-1451814,"Auto-generated category Cosmetics (ID 1451814): Beauty, skin care, and makeup products.",spa
1457367,Sports Equipment (ID 1457367),sports-equipment-1457367,"Auto-generated category Sports Equipment (ID 1457367): Fitness gears, activewear, and gym equipments.",dumbbell
1462446,Toys & Games (ID 1462446),toys-games-1462446,"Auto-generated category Toys & Games (ID 1462446): Toys, puzzles, and kids board games.",puzzle-piece
1471163,Furniture (ID 1471163),furniture-1471163,Auto-generated category Furniture (ID 1471163): Home and office furniture items.,chair
1474371,Clothing (ID 1474371),clothing-1474371,"Auto-generated category Clothing (ID 1474371): Apparel, garments, and fashion accessories.",shirt
1505776,Toys & Games (ID 1505776),toys-games-1505776,"Auto-generated category Toys & Games (ID 1505776): Toys, puzzles, and kids board games.",puzzle-piece
1516409,Jewelry & Accessories (ID 1516409),jewelry-accessories-1516409,"Auto-generated category Jewelry & Accessories (ID 1516409): Jewelry, gems, watches, and tags.",gem
1521931,Clothing (ID 1521931),clothing-1521931,"Auto-generated category Clothing (ID 1521931): Apparel, garments, and fashion accessories.",shirt
1526484,Cosmetics (ID 1526484),cosmetics-1526484,"Auto-generated category Cosmetics (ID 1526484): Beauty, skin care, and makeup products.",spa
1526856,Toys & Games (ID 1526856),toys-games-1526856,"Auto-generated category Toys & Games (ID 1526856): Toys, puzzles, and kids board games.",puzzle-piece
1567637,Sports Equipment (ID 1567637),sports-equipment-1567637,"Auto-generated category Sports Equipment (ID 1567637): Fitness gears, activewear, and gym equipments.",dumbbell
1568197,Sports Equipment (ID 1568197),sports-equipment-1568197,"Auto-generated category Sports Equipment (ID 1568197): Fitness gears, activewear, and gym equipments.",dumbbell
1573465,Food & Groceries (ID 1573465),food-groceries-1573465,"Auto-generated category Food & Groceries (ID 1573465): Groceries, organic food, and snacks.",utensils
1575622,Books (ID 1575622),books-1575622,"Auto-generated category Books (ID 1575622): Printed books, novels, and textbooks.",book
1595193,Furniture (ID 1595193),furniture-1595193,Auto-generated category Furniture (ID 1595193): Home and office furniture items.,chair
1604691,Clothing (ID 1604691),clothing-1604691,"Auto-generated category Clothing (ID 1604691): Apparel, garments, and fashion accessories.",shirt
1611144,Cosmetics (ID 1611144),cosmetics-1611144,"Auto-generated category Cosmetics (ID 1611144): Beauty, skin care, and makeup products.",spa
1622413,Furniture (ID 1622413),furniture-1622413,Auto-generated category Furniture (ID 1622413): Home and office furniture items.,chair
1626599,Jewelry & Accessories (ID 1626599),jewelry-accessories-1626599,"Auto-generated category Jewelry & Accessories (ID 1626599): Jewelry, gems, watches, and tags.",gem
1646753,Furniture (ID 1646753),furniture-1646753,Auto-generated category Furniture (ID 1646753): Home and office furniture items.,chair
1672186,Toys & Games (ID 1672186),toys-games-1672186,"Auto-generated category Toys & Games (ID 1672186): Toys, puzzles, and kids board games.",puzzle-piece
1686309,Jewelry & Accessories (ID 1686309),jewelry-accessories-1686309,"Auto-generated category Jewelry & Accessories (ID 1686309): Jewelry, gems, watches, and tags.",gem
1689624,Cosmetics (ID 1689624),cosmetics-1689624,"Auto-generated category Cosmetics (ID 1689624): Beauty, skin care, and makeup products.",spa
1691699,Jewelry & Accessories (ID 1691699),jewelry-accessories-1691699,"Auto-generated category Jewelry & Accessories (ID 1691699): Jewelry, gems, watches, and tags.",gem
1694669,Jewelry & Accessories (ID 1694669),jewelry-accessories-1694669,"Auto-generated category Jewelry & Accessories (ID 1694669): Jewelry, gems, watches, and tags.",gem
1765288,Shoes (ID 1765288),shoes-1765288,"Auto-generated category Shoes (ID 1765288): Footwear for men, women and kids.",shoe-prints
1792277,Sports Equipment (ID 1792277),sports-equipment-1792277,"Auto-generated category Sports Equipment (ID 1792277): Fitness gears, activewear, and gym equipments.",dumbbell
1798067,Sports Equipment (ID 1798067),sports-equipment-1798067,"Auto-generated category Sports Equipment (ID 1798067): Fitness gears, activewear, and gym equipments.",dumbbell
1807416,Toys & Games (ID 1807416),toys-games-1807416,"Auto-generated category Toys & Games (ID 1807416): Toys, puzzles, and kids board games.",puzzle-piece
1812396,Toys & Games (ID 1812396),toys-games-1812396,"Auto-generated category Toys & Games (ID 1812396): Toys, puzzles, and kids board games.",puzzle-piece
1834026,Toys & Games (ID 1834026),toys-games-1834026,"Auto-generated category Toys & Games (ID 1834026): Toys, puzzles, and kids board games.",puzzle-piece
1842993,Furniture (ID 1842993),furniture-1842993,Auto-generated category Furniture (ID 1842993): Home and office furniture items.,chair
1851156,Toys & Games (ID 1851156),toys-games-1851156,"Auto-generated category Toys & Games (ID 1851156): Toys, puzzles, and kids board games.",puzzle-piece
1859277,Sports Equipment (ID 1859277),sports-equipment-1859277,"Auto-generated category Sports Equipment (ID 1859277): Fitness gears, activewear, and gym equipments.",dumbbell
1868174,Cosmetics (ID 1868174),cosmetics-1868174,"Auto-generated category Cosmetics (ID 1868174): Beauty, skin care, and makeup products.",spa
1872294,Cosmetics (ID 1872294),cosmetics-1872294,"Auto-generated category Cosmetics (ID 1872294): Beauty, skin care, and makeup products.",spa
1873826,Toys & Games (ID 1873826),toys-games-1873826,"Auto-generated category Toys & Games (ID 1873826): Toys, puzzles, and kids board games.",puzzle-piece
1875258,Shoes (ID 1875258),shoes-1875258,"Auto-generated category Shoes (ID 1875258): Footwear for men, women and kids.",shoe-prints
1879194,Cosmetics (ID 1879194),cosmetics-1879194,"Auto-generated category Cosmetics (ID 1879194): Beauty, skin care, and makeup products.",spa
1884322,Books (ID 1884322),books-1884322,"Auto-generated category Books (ID 1884322): Printed books, novels, and textbooks.",book
1884568,Shoes (ID 1884568),shoes-1884568,"Auto-generated category Shoes (ID 1884568): Footwear for men, women and kids.",shoe-prints
1943989,Jewelry & Accessories (ID 1943989),jewelry-accessories-1943989,"Auto-generated category Jewelry & Accessories (ID 1943989): Jewelry, gems, watches, and tags.",gem
1948588,Shoes (ID 1948588),shoes-1948588,"Auto-generated category Shoes (ID 1948588): Footwear for men, women and kids.",shoe-prints
1958275,Food & Groceries (ID 1958275),food-groceries-1958275,"Auto-generated category Food & Groceries (ID 1958275): Groceries, organic food, and snacks.",utensils
1960675,Food & Groceries (ID 1960675),food-groceries-1960675,"Auto-generated category Food & Groceries (ID 1960675): Groceries, organic food, and snacks.",utensils
1963052,Books (ID 1963052),books-1963052,"Auto-generated category Books (ID 1963052): Printed books, novels, and textbooks.",book
1973012,Books (ID 1973012),books-1973012,"Auto-generated category Books (ID 1973012): Printed books, novels, and textbooks.",book
1980111,Clothing (ID 1980111),clothing-1980111,"Auto-generated category Clothing (ID 1980111): Apparel, garments, and fashion accessories.",shirt
2030976,Toys & Games (ID 2030976),toys-games-2030976,"Auto-generated category Toys & Games (ID 2030976): Toys, puzzles, and kids board games.",puzzle-piece
2033408,Shoes (ID 2033408),shoes-2033408,"Auto-generated category Shoes (ID 2033408): Footwear for men, women and kids.",shoe-prints
2042400,Electronics (ID 2042400),electronics-2042400,"Auto-generated category Electronics (ID 2042400): Consumer electronics, gadgets, and devices.",laptop
2062239,Jewelry & Accessories (ID 2062239),jewelry-accessories-2062239,"Auto-generated category Jewelry & Accessories (ID 2062239): Jewelry, gems, watches, and tags.",gem
2072473,Furniture (ID 2072473),furniture-2072473,Auto-generated category Furniture (ID 2072473): Home and office furniture items.,chair
2085893,Furniture (ID 2085893),furniture-2085893,Auto-generated category Furniture (ID 2085893): Home and office furniture items.,chair
2088964,Cosmetics (ID 2088964),cosmetics-2088964,"Auto-generated category Cosmetics (ID 2088964): Beauty, skin care, and makeup products.",spa
2124307,Sports Equipment (ID 2124307),sports-equipment-2124307,"Auto-generated category Sports Equipment (ID 2124307): Fitness gears, activewear, and gym equipments.",dumbbell
2131531,Clothing (ID 2131531),clothing-2131531,"Auto-generated category Clothing (ID 2131531): Apparel, garments, and fashion accessories.",shirt
2157356,Toys & Games (ID 2157356),toys-games-2157356,"Auto-generated category Toys & Games (ID 2157356): Toys, puzzles, and kids board games.",puzzle-piece
2158079,Jewelry & Accessories (ID 2158079),jewelry-accessories-2158079,"Auto-generated category Jewelry & Accessories (ID 2158079): Jewelry, gems, watches, and tags.",gem
2158870,Electronics (ID 2158870),electronics-2158870,"Auto-generated category Electronics (ID 2158870): Consumer electronics, gadgets, and devices.",laptop
2165636,Toys & Games (ID 2165636),toys-games-2165636,"Auto-generated category Toys & Games (ID 2165636): Toys, puzzles, and kids board games.",puzzle-piece
2194744,Cosmetics (ID 2194744),cosmetics-2194744,"Auto-generated category Cosmetics (ID 2194744): Beauty, skin care, and makeup products.",spa
2196412,Books (ID 2196412),books-2196412,"Auto-generated category Books (ID 2196412): Printed books, novels, and textbooks.",book
2201685,Food & Groceries (ID 2201685),food-groceries-2201685,"Auto-generated category Food & Groceries (ID 2201685): Groceries, organic food, and snacks.",utensils
2204097,Sports Equipment (ID 2204097),sports-equipment-2204097,"Auto-generated category Sports Equipment (ID 2204097): Fitness gears, activewear, and gym equipments.",dumbbell
2212343,Furniture (ID 2212343),furniture-2212343,Auto-generated category Furniture (ID 2212343): Home and office furniture items.,chair
2217187,Sports Equipment (ID 2217187),sports-equipment-2217187,"Auto-generated category Sports Equipment (ID 2217187): Fitness gears, activewear, and gym equipments.",dumbbell
2221749,Jewelry & Accessories (ID 2221749),jewelry-accessories-2221749,"Auto-generated category Jewelry & Accessories (ID 2221749): Jewelry, gems, watches, and tags.",gem
2228184,Cosmetics (ID 2228184),cosmetics-2228184,"Auto-generated category Cosmetics (ID 2228184): Beauty, skin care, and makeup products.",spa
2241047,Sports Equipment (ID 2241047),sports-equipment-2241047,"Auto-generated category Sports Equipment (ID 2241047): Fitness gears, activewear, and gym equipments.",dumbbell
2247880,Electronics (ID 2247880),electronics-2247880,"Auto-generated category Electronics (ID 2247880): Consumer electronics, gadgets, and devices.",laptop
2293367,Sports Equipment (ID 2293367),sports-equipment-2293367,"Auto-generated category Sports Equipment (ID 2293367): Fitness gears, activewear, and gym equipments.",dumbbell
2303546,Toys & Games (ID 2303546),toys-games-2303546,"Auto-generated category Toys & Games (ID 2303546): Toys, puzzles, and kids board games.",puzzle-piece
2304296,Toys & Games (ID 2304296),toys-games-2304296,"Auto-generated category Toys & Games (ID 2304296): Toys, puzzles, and kids board games.",puzzle-piece
2311290,Electronics (ID 2311290),electronics-2311290,"Auto-generated category Electronics (ID 2311290): Consumer electronics, gadgets, and devices.",laptop
2314022,Books (ID 2314022),books-2314022,"Auto-generated category Books (ID 2314022): Printed books, novels, and textbooks.",book
2321836,Toys & Games (ID 2321836),toys-games-2321836,"Auto-generated category Toys & Games (ID 2321836): Toys, puzzles, and kids board games.",puzzle-piece
2342116,Toys & Games (ID 2342116),toys-games-2342116,"Auto-generated category Toys & Games (ID 2342116): Toys, puzzles, and kids board games.",puzzle-piece
2344159,Jewelry & Accessories (ID 2344159),jewelry-accessories-2344159,"Auto-generated category Jewelry & Accessories (ID 2344159): Jewelry, gems, watches, and tags.",gem
2355072,Books (ID 2355072),books-2355072,"Auto-generated category Books (ID 2355072): Printed books, novels, and textbooks.",book
2361828,Shoes (ID 2361828),shoes-2361828,"Auto-generated category Shoes (ID 2361828): Footwear for men, women and kids.",shoe-prints
2362370,Electronics (ID 2362370),electronics-2362370,"Auto-generated category Electronics (ID 2362370): Consumer electronics, gadgets, and devices.",laptop
2367907,Sports Equipment (ID 2367907),sports-equipment-2367907,"Auto-generated category Sports Equipment (ID 2367907): Fitness gears, activewear, and gym equipments.",dumbbell
2407396,Toys & Games (ID 2407396),toys-games-2407396,"Auto-generated category Toys & Games (ID 2407396): Toys, puzzles, and kids board games.",puzzle-piece
2419332,Books (ID 2419332),books-2419332,"Auto-generated category Books (ID 2419332): Printed books, novels, and textbooks.",book
2433095,Food & Groceries (ID 2433095),food-groceries-2433095,"Auto-generated category Food & Groceries (ID 2433095): Groceries, organic food, and snacks.",utensils
2440115,Food & Groceries (ID 2440115),food-groceries-2440115,"Auto-generated category Food & Groceries (ID 2440115): Groceries, organic food, and snacks.",utensils
2440364,Cosmetics (ID 2440364),cosmetics-2440364,"Auto-generated category Cosmetics (ID 2440364): Beauty, skin care, and makeup products.",spa
2465336,Toys & Games (ID 2465336),toys-games-2465336,"Auto-generated category Toys & Games (ID 2465336): Toys, puzzles, and kids board games.",puzzle-piece
2466971,Clothing (ID 2466971),clothing-2466971,"Auto-generated category Clothing (ID 2466971): Apparel, garments, and fashion accessories.",shirt
2476560,Electronics (ID 2476560),electronics-2476560,"Auto-generated category Electronics (ID 2476560): Consumer electronics, gadgets, and devices.",laptop
2485713,Furniture (ID 2485713),furniture-2485713,Auto-generated category Furniture (ID 2485713): Home and office furniture items.,chair
2495340,Electronics (ID 2495340),electronics-2495340,"Auto-generated category Electronics (ID 2495340): Consumer electronics, gadgets, and devices.",laptop
2507053,Furniture (ID 2507053),furniture-2507053,Auto-generated category Furniture (ID 2507053): Home and office furniture items.,chair
2520377,Sports Equipment (ID 2520377),sports-equipment-2520377,"Auto-generated category Sports Equipment (ID 2520377): Fitness gears, activewear, and gym equipments.",dumbbell
2520771,Clothing (ID 2520771),clothing-2520771,"Auto-generated category Clothing (ID 2520771): Apparel, garments, and fashion accessories.",shirt
